,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,2910,1783,2395,2765,2773,2829,2838,2914,3407,3450,3308,3269,3134,3018,3037,2964,2993,2643,2569,2397,2360
1,1060,1284,3676,1634,998,1099,873,818,647,474,501,443,435,411,409,420,368,386,332,334,337
2,632,387,488,562,533,485,477,465,407,362,383,304,323,335,323,294,280,236,257,241,244
3,533,484,446,488,505,441,397,340,335,316,308,270,254,247,277,229,213,203,204,191,199
4,474,460,468,509,500,449,464,368,354,301,295,258,246,223,232,195,215,196,173,175,196
5,488,380,410,469,515,481,453,394,345,335,284,230,269,242,244,227,176,207,173,152,170
6,401,373,341,429,491,429,439,381,387,282,296,249,241,248,261,235,206,203,177,155,173
7,340,316,325,378,379,400,383,322,356,327,290,250,200,198,208,195,159,163,153,150,135
8,291,237,253,285,289,363,351,314,315,268,289,211,222,194,207,163,177,161,134,124,142
9,251,197,173,243,270,321,308,254,293,260,201,246,207,180,199,158,156,145,140,116,106
10,243,184,172,186,203,257,271,217,244,211,229,229,200,169,185,155,166,150,127,150,120
11,269,194,155,184,216,208,247,219,221,224,223,190,222,209,173,163,169,137,155,121,144
12,313,255,185,210,213,219,246,244,265,251,253,225,228,243,252,213,200,185,190,205,180
13,410,339,237,322,303,243,323,317,366,358,369,356,315,355,348,328,264,277,257,259,302
14,653,557,329,398,426,426,484,474,507,486,499,502,460,464,461,458,417,365,385,352,451
15,974,737,493,608,601,596,661,681,705,706,782,683,665,665,723,587,666,593,550,502,607
16,1270,1049,649,853,796,745,838,950,888,875,844,889,820,789,808,748,702,732,733,643,717
17,1675,1241,810,1061,981,931,1054,1169,1122,1020,1056,990,943,880,905,821,809,744,734,819,728
18,1731,1426,909,1155,1134,1051,1148,1285,1264,1156,998,1045,935,951,937,866,854,790,780,863,835
19,1954,1599,1018,1184,1181,1137,1247,1404,1377,1200,1099,964,877,927,930,874,927,816,792,866,906
20,2084,1645,1098,1420,1348,1199,1298,1491,1335,1261,1146,971,866,895,839,828,862,787,850,904,919
21,2025,1605,1189,1347,1392,1251,1314,1514,1324,1201,1065,961,855,859,880,846,816,816,792,779,853
22,2223,1849,1330,1596,1489,1358,1447,1485,1318,1241,1143,1047,1021,935,870,877,850,817,759,864,833
23,2454,2061,1630,1791,1780,1601,1576,1695,1464,1366,1215,1026,1004,922,944,887,820,873,891,925,881
24,2983,2344,1795,2039,1851,1817,1743,1745,1577,1406,1182,1127,1077,1028,1004,945,839,844,885,875,914
25,3172,2761,2366,2484,2283,2001,1985,1805,1689,1439,1300,1203,1169,1098,1015,927,935,849,898,876,927
26,3224,3095,2763,2811,2502,2227,2053,1988,1695,1586,1395,1263,1239,1121,1033,1043,923,930,892,892,943
27,3409,3146,3065,3489,2964,2467,2383,2107,1936,1646,1465,1380,1317,1200,1160,1047,1006,999,948,909,919
28,3555,3283,3122,3670,3464,2899,2583,2389,1996,1841,1632,1499,1349,1313,1271,1223,1093,1059,1066,956,928
29,3496,3451,3447,3686,3654,3181,2861,2505,2185,1832,1775,1478,1485,1386,1314,1291,1219,1084,1050,1061,1001
