,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,446394.5,417952,387545.5,397980.5,394573.5,376680.5,371486,370899,356829,397101,392881,391829,381634,381608,380216,375931,385328,372129.5,355830,343374,328101
1,476815.5,479675,478077.5,463199,434937,421428.5,421306,400850,398853,400156,412840,408152,403988,406231,397232,394808,382780,399850.5,390647.5,373288,358932.5
2,475758.5,477240,482616.5,483755.5,468111.5,438589,424622,424558,402435,403087,401836,414188,410206,404490,407796,398889,396334,391280,402143,392985,375698.5
3,483949,479825,482082,487002,489171,472221,454820,427119,424248,405154,404275,402974,415722,410042,405174,408670,399891,391433.5,392465,403658.5,394635
4,486321.5,485991.5,482544,484801,493773.5,495816,492778,457129,426591,427509,406261,405260,404508,415417,410513,405798,409291,399163,392032,393266.5,404552
5,480566.5,489645,489085.5,483907.5,489083,499199,502578,495171,455934,428128,428601,407114,406585,404188,415681,410810,406150,405198,399498.5,392432.5,393734
6,466356,484713.5,492234.5,489871,485074.5,491272,498281,504986,494293,457893,428903,429254,408191,406335,404281,415900,410905,407903.5,405183.5,399699,392712
7,453375.5,471324.5,487214,493162.5,491022.5,486446.5,485396,500107,504727,496554,458543,429596,430245,407929,406458,404677,416040,408727,408028.5,405365.5,399972.5
8,446773,457100.5,473252,487940,493949,491993,488320,486528,500263,507478,497118,459060,430361,429955,408015,406553,404804,413586.5,408766,408178.5,405599
9,454435,449935.5,458829.5,474190.5,489065,495088,496460,489301,486623,500845,508211,497662,459890,430129,429998,408280,406684,410406,413489.5,408873.5,408409.5
10,476276.5,457095.5,451746,459635.5,475491,490479.5,494574,497051,489437,486358,501496,508927,498078,459474,430259,430176,408477,405858,410492.5,413598.5,409091.5
11,490346.5,478059,458791.5,452833,461237.5,477235.5,487558,495483,496375,489213,486844,502195,509443,497871,459547,430468,430400,407631.5,405834.5,410567.5,413781
12,499469.5,492651.5,479853,459993.5,454736,462912.5,468057,488623,495588,497174,489749,487509,502780,509270,498062,459712,430637,419435,407587.5,405892,410725
13,519007.5,502477.5,494418.5,481240,462442,456946.5,459071,469072,488847,495610,497712,490241,488005,502688,509341,498328,459782,430368,419282.5,407593.5,405970.5
14,530972,520621,503853.5,495079,482555.5,463930,456114,459879,470277,488595,495975,498137,490582,487639,502668,509258,498208,445078.5,430232,419167,407512.5
15,541587,533694,522681,505098,496430.5,484287,473588,457396,459789,469259,489161,496408,498454,490473,487608,502906,509162,478508.5,444608,430046.5,419026
16,552609,543205.5,535173,523585,505859,497113,495693,474274,456660,459507,469430,489120,496300,498042,490090,487287,502426,503070.5,477956.5,444247,429751
17,547133.5,552587.5,543503.5,534782.5,522987,505643.5,498587,495393,472343,456899,459201,469177,488656,495693,497527,489564,486617,504961.5,502320.5,477355.5,443782
18,553986,546663,552247,542091.5,532722,521583.5,511910,498058,492812,472341,456304,458708,468653,487764,494861,496906,488843,493460.5,504060.5,501471.5,476690.5
19,566533,552999.5,545826.5,550799.5,540104.5,531281,530432,511247,496147,491741,471544,455691,457524,467767,487040,494296,496088,486312.5,492392,503126.5,500757.5
20,561268,565779,552205.5,543992.5,548231.5,538325,531132,529538,507585,493270,490139,469681,452926,455762,467030,486654,493824,491283,485667,491989.5,502766
21,563441.5,559510.5,563489,548089,537114,538926,535057,524522,518316,502870,484851,484153,463346,446825,447944,460467,477875,484481.5,481231.5,475316.5,482266
22,567490.5,563851,559410,562529,547061,538034.5,544776,542709,526697,522604,503391,489650,485565,466134,450669,452998,460146,484897.5,488941,485567,480330
23,574575.5,564213,561071.5,559215,559506.5,541871.5,526910,544482,535812,523815,521292,501625,484789,483611,464032,448397,449290,468641.5,481321,485955.5,483235.5
24,589864,573012.5,565092,559771.5,555066,557934.5,556522,527232,540830,536776,523233,520755,498904,486077,484525,464980,449036,455737,469808,482613.5,487131.5
25,589241.5,587660.5,570799.5,561142,554591,550706.5,555610,555713,524731,538779,535759,522371,517506,498984,485894,484516,464513,450104,455891.5,469968,482728.5
26,580243.5,587129,585041.5,566422,555587.5,550110.5,542897,554339,551343,520915,537519,534524,519035,517091,498521,485810,483800,456052,449414,455727,469695
27,586935,577940,584212.5,580357.5,560512,550688,554021,541553,549749,548587,519463,536240,531207,518502,516325,498068,485117,473514.5,455619,449018,455237.5
28,584811.5,584385.5,574929,579401.5,574247,555501,543856,552278,537799,541390,547132,518064,532728,530441,517532,515713,497295,483067,472358.5,455051.5,448415.5
29,564885.5,582057,581018.5,569722.5,572466.5,568297,563003,541668,546989,532982,539521,545331,514709,531659,529287,516701,514660,490195.5,482393,471654.5,454308.5
30,561548.5,562204,578237,575603,563126.5,566812,569603,560534,538054,542199,531040,537649,541551,513326,530442,528364,515563,504287,489035,481558,470735
31,563895,559151,559093.5,573195,568679,556788,559223,567068,555168,531902,540191,529020,533552,539904,511895,529417,527086,513514.5,503234.5,488101,480612
32,547111.5,561530.5,555890.5,554118.5,565837.5,561898,549645,556589,562503,549536,529635,537473,524786,531853,538376,510824,528089,519416.5,512167,502150.5,487061.5
33,525776,544697,558252.5,550943.5,547195.5,559542,569771,546689,552431,556833,546965,527358,532911,522759,530323,537260,509390,525666.5,518205.5,511037,501036
34,508792.5,523525,541689,553826,544445,541138,544987,566702,542859,546020,554313,544396,522459,530690,521090,529457,535660,516385,523908.5,516828,509768
35,497252.5,506811.5,520973.5,537401.5,547290,538478,533056,542301,561313,536754,543235,551549,538960,519865,528904,519600,527879,520443,515028,522449.5,515403
36,488966,495230.5,504164.5,516631.5,531152.5,541632,539839,530216,539792,556144,533958,540193,545781,535932,517847,527553,517864,528954,518508,513393,520848
37,459527,487169,493153,500373.5,510926,525812.5,539429,536905,526155,532112,553224,530920,534375,542581,533680,516119,525755,519980,526947,516705.5,511660
38,434496,457619,484340,488842,494650,505636.5,508126,536321,533082,520369,529263,549853,525008,530845,540100,531793,514150,518714.5,517770,524898.5,514682
39,430204.5,432390,455072,480621.5,483341.5,489523.5,499466,505257,531432,526911,517456,526079,543422,521403,528342,538021,529550,516673.5,516428,515680.5,522723
